Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=0, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Namespace(batch_size=16, beta1=0.5, cuda=False, dataroot='./cifar10', dataset='cifar10', image_size=64, learning_rate=0.0002, local_rank=1, max_workers=4, ndf=64, ngf=64, num_epochs=1, nz=100, out_folder='.', seed=0)
Using seed: 0
Using seed: 0
Using GPU: False
Using GPU: False
Rank: 0. World Size: 4
Rank: 1. World Size: 4
Dataset cifar10 loaded
/usr/local/lib/python3.6/dist-packages/torch/utils/data/dataloader.py:490: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  cpuset_checked))
Dataset cifar10 loaded
/usr/local/lib/python3.6/dist-packages/torch/utils/data/dataloader.py:490: UserWarning: This DataLoader will create 4 worker processes in total. Our suggested max number of worker in current system is 2, which is smaller than what this DataLoader is going to create. Please be aware that excessive worker creation might get DataLoader running slow or even freeze, lower the worker number to avoid potential slowness/freeze if necessary.
  cpuset_checked))
Rank: 1, Epoch: 0, Training ...
Rank: 0, Epoch: 0, Training ...
[epoch: 0/1][iteration: 25/782][rank: 0] Loss_D: 0.1393, Loss_G: 5.3702, D(x): 0.9025, D(G(z)): 0.0061 / 0.0058, iteration time: 1.4465s
[epoch: 0/1][iteration: 25/782][rank: 1] Loss_D: 0.0507, Loss_G: 5.3702, D(x): 0.9572, D(G(z)): 0.0061 / 0.0058, iteration time: 1.4487s
[epoch: 0/1][iteration: 26/782][rank: 0] Loss_D: 3.0970, Loss_G: 13.5891, D(x): 0.9681, D(G(z)): 0.9465 / 0.0000, iteration time: 1.4291s
[epoch: 0/1][iteration: 26/782][rank: 1] Loss_D: 3.0781, Loss_G: 13.5891, D(x): 0.9852, D(G(z)): 0.9465 / 0.0000, iteration time: 1.4356s
[epoch: 0/1][iteration: 27/782][rank: 0] Loss_D: 0.2435, Loss_G: 14.7183, D(x): 0.7965, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4403s
[epoch: 0/1][iteration: 27/782][rank: 1] Loss_D: 0.2745, Loss_G: 14.7183, D(x): 0.8067, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4463s
[epoch: 0/1][iteration: 28/782][rank: 1] Loss_D: 0.1138, Loss_G: 14.3541, D(x): 0.8957, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4508s
[epoch: 0/1][iteration: 28/782][rank: 0] Loss_D: 0.3422, Loss_G: 14.3541, D(x): 0.7363, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4714s
[epoch: 0/1][iteration: 29/782][rank: 0] Loss_D: 0.1695, Loss_G: 13.1717, D(x): 0.8666, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4404s
[epoch: 0/1][iteration: 29/782][rank: 1] Loss_D: 0.1053, Loss_G: 13.1717, D(x): 0.9070, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4481s
[epoch: 0/1][iteration: 30/782][rank: 0] Loss_D: 0.0545, Loss_G: 11.0556, D(x): 0.9507, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4249s
[epoch: 0/1][iteration: 30/782][rank: 1] Loss_D: 0.0227, Loss_G: 11.0556, D(x): 0.9781, D(G(z)): 0.0000 / 0.0000, iteration time: 1.4348s
[epoch: 0/1][iteration: 31/782][rank: 0] Loss_D: 0.1122, Loss_G: 7.3274, D(x): 0.9219, D(G(z)): 0.0006 / 0.0007, iteration time: 1.4317s
[epoch: 0/1][iteration: 31/782][rank: 1] Loss_D: 0.0271, Loss_G: 7.3274, D(x): 0.9741, D(G(z)): 0.0006 / 0.0007, iteration time: 1.4301s
[epoch: 0/1][iteration: 32/782][rank: 1] Loss_D: 0.6423, Loss_G: 11.5024, D(x): 0.9614, D(G(z)): 0.4430 / 0.0000, iteration time: 1.4483s
[epoch: 0/1][iteration: 32/782][rank: 0] Loss_D: 0.6129, Loss_G: 11.5024, D(x): 0.9885, D(G(z)): 0.4430 / 0.0000, iteration time: 1.4545s
